year,Washington,Illinois,California,Arizona,Massachusetts,Wisconsin,Texas,Nebraska,Utah,Oregon,Florida,NewYork,RhodeIsland,Georgia,NewHampshire,NorthCarolina,NewJersey,Colorado,Maryland,Nevada,Tennessee,Hawaii,Indiana,Kentucky,Minnesota,Oklahoma,Pennsylvania,SouthCarolina,DistrictofColumbia,Kansas,Missouri,Vermont,Virginia,Connecticut,Iowa,Louisiana,Ohio,Michigan,SouthDakota,Arkansas,Delaware,Mississippi,NewMexico,NorthDakota,Wyoming,Alaska,Maine,Alabama,Idaho,Montana,PuertoRico,VirginIslands,Guam,WestVirginia,NorthernMarianaIslands,AmericanSamoa
50,35.285714285714285,2.142857142857143,19.142857142857142,0.5714285714285714,12.857142857142858,0.2857142857142857,2.857142857142857,0.5714285714285714,0.42857142857142855,1.7142857142857142,2.857142857142857,24.428571428571427,0.42857142857142855,2.857142857142857,0.42857142857142855,0.8571428571428571,2.142857142857143,2.4285714285714284,1.2857142857142858,0.5714285714285714,1.0,0.2857142857142857,0.8571428571428571,1.0,0.42857142857142855,0.2857142857142857,1.7142857142857142,1.2857142857142858,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.1428571428571428,0.2857142857142857,1.8571428571428572,0.8571428571428571,0.42857142857142855,0.2857142857142857,0.7142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,41.57142857142857,3.0,21.0,1.0,13.285714285714286,0.7142857142857143,3.0,1.4285714285714286,0.5714285714285714,2.5714285714285716,3.2857142857142856,29.428571428571427,0.42857142857142855,4.142857142857143,0.42857142857142855,1.0,3.142857142857143,4.857142857142857,1.8571428571428572,1.0,1.1428571428571428,0.2857142857142857,1.5714285714285714,1.0,0.7142857142857143,0.2857142857142857,2.2857142857142856,1.4285714285714286,1.4285714285714286,0.14285714285714285,0.14285714285714285,0.2857142857142857,1.4285714285714286,0.42857142857142855,2.0,1.8571428571428572,0.5714285714285714,0.2857142857142857,1.1428571428571428,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0
52,49.142857142857146,3.857142857142857,26.428571428571427,1.0,15.0,1.0,3.5714285714285716,1.5714285714285714,0.8571428571428571,4.0,6.0,43.42857142857143,0.42857142857142855,4.142857142857143,0.5714285714285714,2.142857142857143,3.857142857142857,6.714285714285714,1.4285714285714286,1.2857142857142858,2.4285714285714284,0.2857142857142857,1.7142857142857142,1.5714285714285714,1.2857142857142858,0.2857142857142857,3.142857142857143,1.7142857142857142,1.4285714285714286,0.7142857142857143,0.2857142857142857,0.2857142857142857,2.4285714285714284,0.8571428571428571,2.2857142857142856,2.0,0.7142857142857143,1.7142857142857142,1.1428571428571428,0.8571428571428571,0.5714285714285714,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0,0,0
53,60.714285714285715,5.714285714285714,34.142857142857146,0.8571428571428571,16.428571428571427,2.5714285714285716,5.571428571428571,1.8571428571428572,0.5714285714285714,4.0,9.0,53.857142857142854,2.4285714285714284,5.428571428571429,0.7142857142857143,2.2857142857142856,6.571428571428571,10.0,2.142857142857143,2.4285714285714284,3.5714285714285716,0.14285714285714285,1.5714285714285714,1.4285714285714286,1.8571428571428572,0.2857142857142857,5.571428571428571,1.5714285714285714,1.4285714285714286,0.8571428571428571,0.5714285714285714,0.2857142857142857,4.285714285714286,1.5714285714285714,2.4285714285714284,5.142857142857143,1.8571428571428572,3.5714285714285716,1.2857142857142858,1.0,0.5714285714285714,0.8571428571428571,1.4285714285714286,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.5714285714285714,0.42857142857142855,0,0,0,0,0
54,71.28571428571429,8.571428571428571,40.142857142857146,1.0,17.857142857142858,3.7142857142857144,7.142857142857143,2.142857142857143,2.5714285714285716,4.285714285714286,8.285714285714286,74.42857142857143,2.4285714285714284,8.285714285714286,0.42857142857142855,3.2857142857142856,10.142857142857142,13.571428571428571,3.4285714285714284,2.7142857142857144,4.428571428571429,0.42857142857142855,2.0,2.4285714285714284,2.857142857142857,0.42857142857142855,6.142857142857143,2.4285714285714284,2.142857142857143,1.0,0.5714285714285714,0.5714285714285714,5.857142857142857,2.857142857142857,2.5714285714285716,11.0,3.7142857142857144,4.714285714285714,1.2857142857142858,1.2857142857142858,0.5714285714285714,0.8571428571428571,1.8571428571428572,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.42857142857142855,1.7142857142857142,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.14285714285714285,0,0,0,0
55,76.28571428571429,12.428571428571429,52.285714285714285,1.1428571428571428,19.428571428571427,4.571428571428571,8.142857142857142,2.142857142857143,3.7142857142857144,3.7142857142857144,13.714285714285714,89.42857142857143,2.4285714285714284,12.285714285714286,1.2857142857142858,4.285714285714286,13.142857142857142,18.285714285714285,3.857142857142857,3.142857142857143,5.142857142857143,0.7142857142857143,2.4285714285714284,2.4285714285714284,4.714285714285714,1.0,8.857142857142858,3.142857142857143,2.2857142857142856,1.1428571428571428,0.5714285714285714,1.0,6.142857142857143,3.5714285714285716,2.7142857142857144,14.714285714285714,5.285714285714286,7.571428571428571,1.2857142857142858,2.2857142857142856,1.0,1.4285714285714286,2.4285714285714284,0.14285714285714285,0.42857142857142855,0.14285714285714285,1.7142857142857142,3.2857142857142856,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.14285714285714285,0.42857142857142855,0,0,0
56,87.85714285714286,13.285714285714286,59.42857142857143,1.7142857142857142,22.285714285714285,6.428571428571429,9.0,2.4285714285714284,5.285714285714286,4.714285714285714,18.142857142857142,115.42857142857143,2.5714285714285716,14.428571428571429,1.8571428571428572,3.857142857142857,23.571428571428573,21.285714285714285,4.714285714285714,5.857142857142857,6.857142857142857,1.1428571428571428,2.857142857142857,2.4285714285714284,7.428571428571429,1.2857142857142858,10.142857142857142,3.7142857142857144,2.5714285714285716,1.4285714285714286,1.1428571428571428,1.5714285714285714,6.571428571428571,5.571428571428571,2.0,19.428571428571427,6.714285714285714,7.714285714285714,1.4285714285714286,3.142857142857143,1.1428571428571428,1.7142857142857142,3.0,0.14285714285714285,1.4285714285714286,0.42857142857142855,2.4285714285714284,4.142857142857143,0.7142857142857143,1.1428571428571428,0.7142857142857143,0.2857142857142857,0.42857142857142855,0,0,0
57,89.85714285714286,20.0,79.0,2.0,18.0,9.857142857142858,10.714285714285714,2.7142857142857144,6.714285714285714,7.428571428571429,26.714285714285715,171.71428571428572,2.5714285714285716,17.142857142857142,3.0,5.0,36.142857142857146,23.714285714285715,6.857142857142857,7.285714285714286,9.428571428571429,1.7142857142857142,3.4285714285714284,2.7142857142857144,8.142857142857142,2.2857142857142856,12.714285714285714,5.428571428571429,3.857142857142857,2.2857142857142856,2.142857142857143,1.8571428571428572,8.428571428571429,9.428571428571429,2.2857142857142856,27.142857142857142,9.142857142857142,9.0,0.8571428571428571,3.142857142857143,2.2857142857142856,3.0,3.2857142857142856,0.7142857142857143,2.142857142857143,0.8571428571428571,4.571428571428571,5.571428571428571,1.2857142857142858,1.1428571428571428,0.7142857142857143,0.2857142857142857,0.42857142857142855,0.14285714285714285,0,0
58,98.28571428571429,37.285714285714285,98.71428571428571,2.7142857142857144,23.0,14.285714285714286,19.0,2.857142857142857,8.571428571428571,7.714285714285714,42.857142857142854,310.0,4.0,23.142857142857142,4.857142857142857,8.285714285714286,57.714285714285715,26.0,10.285714285714286,10.714285714285714,12.857142857142858,2.0,4.0,4.0,10.285714285714286,3.857142857142857,17.571428571428573,7.142857142857143,3.7142857142857144,3.0,2.857142857142857,2.4285714285714284,9.714285714285714,13.285714285714286,3.4285714285714284,38.142857142857146,12.285714285714286,11.142857142857142,0.42857142857142855,4.571428571428571,3.5714285714285716,4.714285714285714,3.4285714285714284,0.8571428571428571,2.2857142857142856,1.2857142857142858,6.142857142857143,7.285714285714286,1.5714285714285714,1.7142857142857142,0.7142857142857143,0.42857142857142855,1.1428571428571428,0.2857142857142857,0,0
59,115.57142857142857,55.42857142857143,116.42857142857143,5.428571428571429,31.428571428571427,21.0,29.571428571428573,3.2857142857142856,10.428571428571429,8.142857142857142,55.42857142857143,547.8571428571429,5.571428571428571,35.857142857142854,5.428571428571429,12.571428571428571,100.85714285714286,32.714285714285715,13.571428571428571,12.571428571428571,19.571428571428573,3.4285714285714284,6.285714285714286,5.142857142857143,11.428571428571429,6.0,23.571428571428573,9.857142857142858,4.142857142857143,4.285714285714286,4.714285714285714,2.857142857142857,11.0,21.857142857142858,4.0,54.0,16.428571428571427,46.0,0.8571428571428571,8.0,3.7142857142857144,7.0,4.142857142857143,2.5714285714285716,2.4285714285714284,1.5714285714285714,7.285714285714286,11.142857142857142,3.2857142857142856,2.7142857142857144,0.8571428571428571,0.42857142857142855,1.7142857142857142,0.7142857142857143,0,0
